A,N,W,Y,AB
0.013445971533656,0.013957316055894,0.013561273925006,0.013455670326948,0.013325863517821
0.017263980582357,0.017703462392092,0.0175049174577,0.01748276129365,0.017452070489526
0.013524292968214,0.013430071994662,0.013397411443293,0.013993584550917,0.013261267915368
0.017732799053192,0.017851928249002,0.017501335591078,0.017711548134685,0.018068872392178
0.012440972030163,0.012621322646737,0.012941903434694,0.012563284486532,0.01254213694483
0.017307879403234,0.01740244962275,0.017645204439759,0.017956430092454,0.017725970596075
0.012655997648835,0.012593047693372,0.012768014334142,0.012543138116598,0.012643274851143
0.017354248091579,0.017242573201656,0.017557218670845,0.017156077548862,0.018092293292284
0.012459021061659,0.012525800615549,0.012433239258826,0.012449997477233,0.012762265279889
0.017303900793195,0.016983250156045,0.01776597648859,0.017243999987841,0.017349788919091
0.012415735051036,0.012435478158295,0.012881327420473,0.01267920434475,0.012508498504758
0.018085781484842,0.017006259411573,0.017376953735948,0.017607601359487,0.01749837026
0.013123084791005,0.013506649062038,0.013530846685171,0.013504978269339,0.013110056519508
0.017617976292968,0.01781103387475,0.017620738595724,0.017661968246102,0.017933947965503
0.01320833992213,0.013465982861817,0.013209346681833,0.014512819238007,0.013149673119187
0.017726330086589,0.017797334119678,0.017968032509089,0.017985835671425,0.01782288402319
0.012556692585349,0.012656860984862,0.012988316826522,0.012740134261549,0.012588592246175
0.017655581235886,0.01735513471067,0.017652176320553,0.01762855052948,0.017278354614973
0.012492565438151,0.012729823589325,0.012442498467863,0.012775118462741,0.012748076580465
0.018227934837341,0.018027473241091,0.01770406216383,0.01739789545536,0.017578952014446
0.01246249396354,0.012507511302829,0.012467413209379,0.012657657265663,0.012693207710981
0.017486127093434,0.017195018008351,0.01737343147397,0.017360122874379,0.017917424440384
0.012433555908501,0.01263428106904,0.012522589415312,0.012437876313925,0.012590028345585
0.01724542118609,0.017318798229098,0.01744494959712,0.01727470010519,0.017520628869534
0.013445971533656,0.014123440720141,0.013403833843768,0.014193140901625,0.013402032665908
0.017263980582357,0.01785059645772,0.01785695925355,0.01755558885634,0.01771236024797
0.013524292968214,0.013839018531144,0.014416977763176,0.013749470934272,0.014277008362114
0.017732799053192,0.017604719847441,0.01817761734128,0.017593637108803,0.017795855179429
0.012440972030163,0.012647289782763,0.01294175721705,0.012576881796122,0.012834480963647
0.017307879403234,0.017254019156098,0.017299223691225,0.017166865989566,0.017384693026543
0.012655997648835,0.012757018208504,0.012815594673157,0.012613903731108,0.012755271978676
0.017354248091579,0.017460087314248,0.017674369737506,0.01710863225162,0.017710216343403
0.012459021061659,0.012866708450019,0.012775237672031,0.012492951005697,0.012531602755189
0.017303900793195,0.017173867672682,0.017515001818538,0.017320709303021,0.017182491719723
0.012415735051036,0.012342222034931,0.012599729932845,0.01241206843406,0.012539004907012
0.018085781484842,0.017891453579068,0.017458274960518,0.017105249688029,0.017232716083527
0.82693347625783,0.810700765550905,0.829608937848176,0.824160317111974,0.825056425349078
0.734385557284542,0.738056149271311,0.77155822626694,0.761655040746818,0.762009870751906
0.83439312562502,0.837597325174057,0.837988835174616,0.835656053020086,0.818003905090164
0.769295163135783,0.780838419706564,0.779213680452724,0.779775038628457,0.778426474447742
0.83403070540662,0.82479337489,0.842365877688543,0.839934893978511,0.82713961177162
0.738706441814456,0.761036031486679,0.765196105112722,0.753166588620621,0.777927317244177
0.827722760815093,0.8266516224654,0.843186240026816,0.843478265038791,0.839766748688797
0.788589014964393,0.782133724030574,0.784172100886198,0.756534936080577,0.796777909986337
0.837233755319208,0.831175975819526,0.84736701619912,0.838300215518818,0.842133768868408
0.76166496703016,0.788740031952228,0.726153591820021,0.760735234621408,0.778365726398403
0.843556554712977,0.844617085378485,0.819879349898356,0.83501500124094,0.841578674669437
0.794726337637122,0.768963035192366,0.795828830444887,0.791568357232037,0.77639698875741
0.818830246928828,0.810565188550371,0.833055086128036,0.814940576999419,0.824066147157455
0.753750413822795,0.776767338785665,0.779845319634177,0.781003262275863,0.741790116745305
0.821307786775409,0.841711208646825,0.833054150015696,0.830667386532178,0.839499309443852
0.788771317300359,0.742690802655916,0.776347583200709,0.742501565338152,0.784400191894088
0.818807341946185,0.825369727453381,0.835071890810759,0.816652868644002,0.827852978838517
0.734628758901552,0.762884923135807,0.745704489382853,0.734385109917622,0.748021766132103
0.838250787108539,0.827922990249759,0.838745502980775,0.835746099981009,0.83048547823462
0.747212698311586,0.78574548529607,0.779709908643664,0.793843447956066,0.766298819385148
0.839559262104667,0.842560097202287,0.843640307583765,0.834834818109611,0.827334067938132
0.76001712628751,0.781156233208732,0.75777045751703,0.781772113093149,0.767066684362708
0.821117659439186,0.838272655602124,0.844108569152264,0.845086061426748,0.846715307442803
0.762536565207119,0.764059135034484,0.789176739405796,0.79269212161146,0.770750356948983
0.82693347625783,0.821526644403949,0.823190082493051,0.833059662020589,0.815723444383499
0.734385557284542,0.772912567942196,0.775414709997187,0.753145691395186,0.763627836352021
0.83439312562502,0.830058406118621,0.8329245128602,0.82922731273127,0.830313021151323
0.769295163135783,0.760996868458613,0.787960394107319,0.777746484397706,0.783625268904354
0.83403070540662,0.824235500394246,0.831661082047736,0.837780152587928,0.838692247700063
0.738706441814456,0.757802837493127,0.763184366305828,0.781989396588599,0.772688761701385
0.827722760815093,0.838463634617664,0.835379448893946,0.832618028931861,0.831554302766352
0.788589014964393,0.791258062396455,0.782230618398323,0.786752682638296,0.760177245900193
0.837233755319208,0.839202846966742,0.840909073483353,0.843083677019199,0.838989940307333
0.76166496703016,0.748573085291711,0.761748409301909,0.78541815167431,0.750031524003394
0.843556554712977,0.828954732151175,0.827222221839428,0.808836524946451,0.837545116815991
0.794726337637122,0.787645088370167,0.758745544106591,0.795242425728123,0.78930424899985
0.017183117568493,0.01732630096376,0.017463285475969,0.017276220023632,0.016996793448925
0.020659869536758,0.02058962546289,0.02047210931778,0.020449034869671,0.020949555560947
0.017438977956772,0.017394168302417,0.017738739028573,0.017500121146441,0.017201421782374
0.020543720573187,0.020869472995401,0.020087828859687,0.020502218976617,0.020025372505188
0.017079543322325,0.017075361683965,0.01675464771688,0.016962748020887,0.016790745779872
0.020831296220422,0.020422268658877,0.020095558837056,0.020389696583152,0.020820654928684
0.016746088862419,0.016881104558706,0.017578206956387,0.016825180500746,0.01723775267601
0.020358327776194,0.020118227228522,0.020047573372722,0.020788092166185,0.02017018198967
0.017056360840798,0.016931019723415,0.016878163442016,0.017102582380176,0.016930039972067
0.021296376362443,0.020471880212426,0.020887514576316,0.020978733897209,0.020336654037237
0.016802268102765,0.016926564276219,0.017017044126988,0.016704197973013,0.017351247370243
0.020401272922754,0.020436329767108,0.020265819504857,0.020411029458046,0.020084165036678
0.739622646214333,0.74245116280971,0.784131909819036,0.768201266671037,0.766378871802865
0.728728213364726,0.732274725474408,0.667634881883694,0.708757464089636,0.749511439632169
0.75993285304679,0.792238049068927,0.754319647114316,0.781865280839004,0.763054460362606
0.757671876386053,0.774987482727384,0.768796106148639,0.774765644626961,0.755300156013827
0.750596334206795,0.757534606080119,0.779626327909344,0.753705797740556,0.75330278253373
0.756324364132471,0.759497270935385,0.757516134962819,0.747300674631627,0.702443793540385
0.783855551199619,0.779753760220246,0.754816115875977,0.781274383443697,0.761227953898529
0.744033186142188,0.751080934111373,0.751872716315548,0.732125508077638,0.764814509691443
0.741742524352482,0.736816534173391,0.754819573551198,0.766254710028553,0.73748174802719
0.767613790750061,0.744283078881174,0.728558448708746,0.7470357484177,0.738682633104264
0.748370265914476,0.749861946719816,0.679574070236686,0.468308424514328,0.751515154089809
0.759406234226568,0.722746415429333,0.73972170880054,0.777525151418618,0.714961295220131
