,Unnamed: 0,dataset_name,input_size,output_size
9,9,2_C.v1.l0.ds1.l_combo0.ds_combo2.idays30.odays7,76,76
10,10,2_C.v1.l0.ds1.l_combo0.ds_combo2.idays60.odays1,76,76
11,11,2_C.v1.l0.ds1.l_combo0.ds_combo2.idays60.odays7,76,76
12,12,2_C.v1.l0.ds1.l_combo0.ds_combo3.idays30.odays1,28,28
13,13,2_C.v1.l0.ds1.l_combo0.ds_combo3.idays30.odays7,28,28
14,14,2_C.v1.l0.ds1.l_combo0.ds_combo3.idays60.odays1,28,28
15,15,2_C.v1.l0.ds1.l_combo0.ds_combo3.idays60.odays7,28,28
0,0,2_D.v1.l1.ds1.l_combo0.ds_combo0.idays30.odays1,6,6
1,1,2_D.v1.l1.ds1.l_combo0.ds_combo0.idays30.odays7,6,6
2,2,2_D.v1.l1.ds1.l_combo0.ds_combo0.idays60.odays1,6,6
3,3,2_D.v1.l1.ds1.l_combo0.ds_combo0.idays60.odays7,6,6
4,4,2_D.v1.l1.ds1.l_combo0.ds_combo1.idays30.odays1,1,1
5,5,2_D.v1.l1.ds1.l_combo0.ds_combo1.idays30.odays7,1,1
6,6,2_D.v1.l1.ds1.l_combo0.ds_combo1.idays60.odays1,1,1
7,7,2_D.v1.l1.ds1.l_combo0.ds_combo1.idays60.odays7,1,1
8,8,2_D.v1.l1.ds1.l_combo0.ds_combo2.idays30.odays1,6,6
9,9,2_D.v1.l1.ds1.l_combo0.ds_combo2.idays30.odays7,6,6
10,10,2_D.v1.l1.ds1.l_combo0.ds_combo2.idays60.odays1,6,6
11,11,2_D.v1.l1.ds1.l_combo0.ds_combo2.idays60.odays7,6,6
12,12,2_D.v1.l1.ds1.l_combo0.ds_combo3.idays30.odays1,2,2
13,13,2_D.v1.l1.ds1.l_combo0.ds_combo3.idays30.odays7,2,2
14,14,2_D.v1.l1.ds1.l_combo0.ds_combo3.idays60.odays1,2,2
15,15,2_D.v1.l1.ds1.l_combo0.ds_combo3.idays60.odays7,2,2
16,16,2_D.v1.l1.ds1.l_combo1.ds_combo0.idays30.odays1,6,6
17,17,2_D.v1.l1.ds1.l_combo1.ds_combo0.idays30.odays7,6,6
18,18,2_D.v1.l1.ds1.l_combo1.ds_combo0.idays60.odays1,6,6
19,19,2_D.v1.l1.ds1.l_combo1.ds_combo0.idays60.odays7,6,6
20,20,2_D.v1.l1.ds1.l_combo1.ds_combo1.idays30.odays1,1,1
21,21,2_D.v1.l1.ds1.l_combo1.ds_combo1.idays30.odays7,1,1
22,22,2_D.v1.l1.ds1.l_combo1.ds_combo1.idays60.odays1,1,1
23,23,2_D.v1.l1.ds1.l_combo1.ds_combo1.idays60.odays7,1,1
24,24,2_D.v1.l1.ds1.l_combo1.ds_combo2.idays30.odays1,6,6
25,25,2_D.v1.l1.ds1.l_combo1.ds_combo2.idays30.odays7,6,6
26,26,2_D.v1.l1.ds1.l_combo1.ds_combo2.idays60.odays1,6,6
27,27,2_D.v1.l1.ds1.l_combo1.ds_combo2.idays60.odays7,6,6
28,28,2_D.v1.l1.ds1.l_combo1.ds_combo3.idays30.odays1,2,2
29,29,2_D.v1.l1.ds1.l_combo1.ds_combo3.idays30.odays7,2,2
30,30,2_D.v1.l1.ds1.l_combo1.ds_combo3.idays60.odays1,2,2
31,31,2_D.v1.l1.ds1.l_combo1.ds_combo3.idays60.odays7,2,2
32,32,2_D.v1.l1.ds1.l_combo2.ds_combo0.idays30.odays1,6,6
33,33,2_D.v1.l1.ds1.l_combo2.ds_combo0.idays30.odays7,6,6
34,34,2_D.v1.l1.ds1.l_combo2.ds_combo0.idays60.odays1,6,6
35,35,2_D.v1.l1.ds1.l_combo2.ds_combo0.idays60.odays7,6,6
36,36,2_D.v1.l1.ds1.l_combo2.ds_combo1.idays30.odays1,1,1
37,37,2_D.v1.l1.ds1.l_combo2.ds_combo1.idays30.odays7,1,1
38,38,2_D.v1.l1.ds1.l_combo2.ds_combo1.idays60.odays1,1,1
39,39,2_D.v1.l1.ds1.l_combo2.ds_combo1.idays60.odays7,1,1
40,40,2_D.v1.l1.ds1.l_combo2.ds_combo2.idays30.odays1,6,6
41,41,2_D.v1.l1.ds1.l_combo2.ds_combo2.idays30.odays7,6,6
42,42,2_D.v1.l1.ds1.l_combo2.ds_combo2.idays60.odays1,6,6
43,43,2_D.v1.l1.ds1.l_combo2.ds_combo2.idays60.odays7,6,6
44,44,2_D.v1.l1.ds1.l_combo2.ds_combo3.idays30.odays1,2,2
45,45,2_D.v1.l1.ds1.l_combo2.ds_combo3.idays30.odays7,2,2
46,46,2_D.v1.l1.ds1.l_combo2.ds_combo3.idays60.odays1,2,2
47,47,2_D.v1.l1.ds1.l_combo2.ds_combo3.idays60.odays7,2,2
48,48,2_D.v1.l1.ds1.l_combo3.ds_combo0.idays30.odays1,6,6
49,49,2_D.v1.l1.ds1.l_combo3.ds_combo0.idays30.odays7,6,6
50,50,2_D.v1.l1.ds1.l_combo3.ds_combo0.idays60.odays1,6,6
51,51,2_D.v1.l1.ds1.l_combo3.ds_combo0.idays60.odays7,6,6
52,52,2_D.v1.l1.ds1.l_combo3.ds_combo1.idays30.odays1,1,1
53,53,2_D.v1.l1.ds1.l_combo3.ds_combo1.idays30.odays7,1,1
54,54,2_D.v1.l1.ds1.l_combo3.ds_combo1.idays60.odays1,1,1
55,55,2_D.v1.l1.ds1.l_combo3.ds_combo1.idays60.odays7,1,1
56,56,2_D.v1.l1.ds1.l_combo3.ds_combo2.idays30.odays1,6,6
57,57,2_D.v1.l1.ds1.l_combo3.ds_combo2.idays30.odays7,6,6
58,58,2_D.v1.l1.ds1.l_combo3.ds_combo2.idays60.odays1,6,6
59,59,2_D.v1.l1.ds1.l_combo3.ds_combo2.idays60.odays7,6,6
60,60,2_D.v1.l1.ds1.l_combo3.ds_combo3.idays30.odays1,2,2
61,61,2_D.v1.l1.ds1.l_combo3.ds_combo3.idays30.odays7,2,2
62,62,2_D.v1.l1.ds1.l_combo3.ds_combo3.idays60.odays1,2,2
63,63,2_D.v1.l1.ds1.l_combo3.ds_combo3.idays60.odays7,2,2
64,64,2_D.v1.l1.ds1.l_combo4.ds_combo0.idays30.odays1,6,6
65,65,2_D.v1.l1.ds1.l_combo4.ds_combo0.idays30.odays7,6,6
66,66,2_D.v1.l1.ds1.l_combo4.ds_combo0.idays60.odays1,6,6
67,67,2_D.v1.l1.ds1.l_combo4.ds_combo0.idays60.odays7,6,6
68,68,2_D.v1.l1.ds1.l_combo4.ds_combo1.idays30.odays1,1,1
69,69,2_D.v1.l1.ds1.l_combo4.ds_combo1.idays30.odays7,1,1
70,70,2_D.v1.l1.ds1.l_combo4.ds_combo1.idays60.odays1,1,1
71,71,2_D.v1.l1.ds1.l_combo4.ds_combo1.idays60.odays7,1,1
72,72,2_D.v1.l1.ds1.l_combo4.ds_combo2.idays30.odays1,6,6
73,73,2_D.v1.l1.ds1.l_combo4.ds_combo2.idays30.odays7,6,6
74,74,2_D.v1.l1.ds1.l_combo4.ds_combo2.idays60.odays1,6,6
75,75,2_D.v1.l1.ds1.l_combo4.ds_combo2.idays60.odays7,6,6
76,76,2_D.v1.l1.ds1.l_combo4.ds_combo3.idays30.odays1,2,2
77,77,2_D.v1.l1.ds1.l_combo4.ds_combo3.idays30.odays7,2,2
78,78,2_D.v1.l1.ds1.l_combo4.ds_combo3.idays60.odays1,2,2
79,79,2_D.v1.l1.ds1.l_combo4.ds_combo3.idays60.odays7,2,2
80,80,2_D.v1.l1.ds1.l_combo5.ds_combo0.idays30.odays1,6,6
81,81,2_D.v1.l1.ds1.l_combo5.ds_combo0.idays30.odays7,6,6
82,82,2_D.v1.l1.ds1.l_combo5.ds_combo0.idays60.odays1,6,6
83,83,2_D.v1.l1.ds1.l_combo5.ds_combo0.idays60.odays7,6,6
84,84,2_D.v1.l1.ds1.l_combo5.ds_combo1.idays30.odays1,1,1
85,85,2_D.v1.l1.ds1.l_combo5.ds_combo1.idays30.odays7,1,1
86,86,2_D.v1.l1.ds1.l_combo5.ds_combo1.idays60.odays1,1,1
87,87,2_D.v1.l1.ds1.l_combo5.ds_combo1.idays60.odays7,1,1
88,88,2_D.v1.l1.ds1.l_combo5.ds_combo2.idays30.odays1,6,6
89,89,2_D.v1.l1.ds1.l_combo5.ds_combo2.idays30.odays7,6,6
90,90,2_D.v1.l1.ds1.l_combo5.ds_combo2.idays60.odays1,6,6
91,91,2_D.v1.l1.ds1.l_combo5.ds_combo2.idays60.odays7,6,6
92,92,2_D.v1.l1.ds1.l_combo5.ds_combo3.idays30.odays1,2,2
93,93,2_D.v1.l1.ds1.l_combo5.ds_combo3.idays30.odays7,2,2
94,94,2_D.v1.l1.ds1.l_combo5.ds_combo3.idays60.odays1,2,2
95,95,2_D.v1.l1.ds1.l_combo5.ds_combo3.idays60.odays7,2,2
96,96,2_D.v1.l1.ds1.l_combo6.ds_combo0.idays30.odays1,6,6
97,97,2_D.v1.l1.ds1.l_combo6.ds_combo0.idays30.odays7,6,6
98,98,2_D.v1.l1.ds1.l_combo6.ds_combo0.idays60.odays1,6,6
99,99,2_D.v1.l1.ds1.l_combo6.ds_combo0.idays60.odays7,6,6
100,100,2_D.v1.l1.ds1.l_combo6.ds_combo1.idays30.odays1,1,1
101,101,2_D.v1.l1.ds1.l_combo6.ds_combo1.idays30.odays7,1,1
102,102,2_D.v1.l1.ds1.l_combo6.ds_combo1.idays60.odays1,1,1
103,103,2_D.v1.l1.ds1.l_combo6.ds_combo1.idays60.odays7,1,1
104,104,2_D.v1.l1.ds1.l_combo7.ds_combo0.idays30.odays1,6,6
105,105,2_D.v1.l1.ds1.l_combo7.ds_combo0.idays30.odays7,6,6
106,106,2_D.v1.l1.ds1.l_combo7.ds_combo0.idays60.odays1,6,6
107,107,2_D.v1.l1.ds1.l_combo7.ds_combo0.idays60.odays7,6,6
108,108,2_D.v1.l1.ds1.l_combo7.ds_combo1.idays30.odays1,1,1
109,109,2_D.v1.l1.ds1.l_combo7.ds_combo1.idays30.odays7,1,1
110,110,2_D.v1.l1.ds1.l_combo7.ds_combo1.idays60.odays1,1,1
111,111,2_D.v1.l1.ds1.l_combo7.ds_combo1.idays60.odays7,1,1
112,112,2_D.v1.l1.ds1.l_combo7.ds_combo2.idays30.odays1,6,6
113,113,2_D.v1.l1.ds1.l_combo7.ds_combo2.idays30.odays7,6,6
114,114,2_D.v1.l1.ds1.l_combo7.ds_combo2.idays60.odays1,6,6
115,115,2_D.v1.l1.ds1.l_combo7.ds_combo2.idays60.odays7,6,6
116,116,2_D.v1.l1.ds1.l_combo7.ds_combo3.idays30.odays1,2,2
117,117,2_D.v1.l1.ds1.l_combo7.ds_combo3.idays30.odays7,2,2
118,118,2_D.v1.l1.ds1.l_combo7.ds_combo3.idays60.odays1,2,2
119,119,2_D.v1.l1.ds1.l_combo7.ds_combo3.idays60.odays7,2,2
120,120,2_D.v1.l1.ds1.l_combo8.ds_combo0.idays30.odays1,6,6
121,121,2_D.v1.l1.ds1.l_combo8.ds_combo0.idays30.odays7,6,6
122,122,2_D.v1.l1.ds1.l_combo8.ds_combo0.idays60.odays1,6,6
123,123,2_D.v1.l1.ds1.l_combo8.ds_combo0.idays60.odays7,6,6
124,124,2_D.v1.l1.ds1.l_combo8.ds_combo1.idays30.odays1,1,1
125,125,2_D.v1.l1.ds1.l_combo8.ds_combo1.idays30.odays7,1,1
126,126,2_D.v1.l1.ds1.l_combo8.ds_combo1.idays60.odays1,1,1
127,127,2_D.v1.l1.ds1.l_combo8.ds_combo1.idays60.odays7,1,1
128,128,2_D.v1.l1.ds1.l_combo8.ds_combo2.idays30.odays1,6,6
129,129,2_D.v1.l1.ds1.l_combo8.ds_combo2.idays30.odays7,6,6
130,130,2_D.v1.l1.ds1.l_combo8.ds_combo2.idays60.odays1,6,6
131,131,2_D.v1.l1.ds1.l_combo8.ds_combo2.idays60.odays7,6,6
132,132,2_D.v1.l1.ds1.l_combo8.ds_combo3.idays30.odays1,2,2
133,133,2_D.v1.l1.ds1.l_combo8.ds_combo3.idays30.odays7,2,2
134,134,2_D.v1.l1.ds1.l_combo8.ds_combo3.idays60.odays1,2,2
135,135,2_D.v1.l1.ds1.l_combo8.ds_combo3.idays60.odays7,2,2
136,136,2_D.v1.l1.ds1.l_combo9.ds_combo0.idays30.odays1,6,6
137,137,2_D.v1.l1.ds1.l_combo9.ds_combo0.idays30.odays7,6,6
138,138,2_D.v1.l1.ds1.l_combo9.ds_combo0.idays60.odays1,6,6
139,139,2_D.v1.l1.ds1.l_combo9.ds_combo0.idays60.odays7,6,6
140,140,2_D.v1.l1.ds1.l_combo9.ds_combo1.idays30.odays1,1,1
141,141,2_D.v1.l1.ds1.l_combo9.ds_combo1.idays30.odays7,1,1
142,142,2_D.v1.l1.ds1.l_combo9.ds_combo1.idays60.odays1,1,1
143,143,2_D.v1.l1.ds1.l_combo9.ds_combo1.idays60.odays7,1,1
144,144,2_D.v1.l1.ds1.l_combo9.ds_combo2.idays30.odays1,2,2
145,145,2_D.v1.l1.ds1.l_combo9.ds_combo2.idays30.odays7,2,2
146,146,2_D.v1.l1.ds1.l_combo9.ds_combo2.idays60.odays1,2,2
147,147,2_D.v1.l1.ds1.l_combo9.ds_combo2.idays60.odays7,2,2
148,148,2_D.v1.l1.ds1.l_combo9.ds_combo3.idays30.odays1,2,2
149,149,2_D.v1.l1.ds1.l_combo9.ds_combo3.idays30.odays7,2,2
150,150,2_D.v1.l1.ds1.l_combo9.ds_combo3.idays60.odays1,2,2
151,151,2_D.v1.l1.ds1.l_combo9.ds_combo3.idays60.odays7,2,2
152,152,2_D.v1.l1.ds1.l_combo10.ds_combo0.idays30.odays1,6,6
153,153,2_D.v1.l1.ds1.l_combo10.ds_combo0.idays30.odays7,6,6
154,154,2_D.v1.l1.ds1.l_combo10.ds_combo0.idays60.odays1,6,6
155,155,2_D.v1.l1.ds1.l_combo10.ds_combo0.idays60.odays7,6,6
156,156,2_D.v1.l1.ds1.l_combo10.ds_combo1.idays30.odays1,1,1
157,157,2_D.v1.l1.ds1.l_combo10.ds_combo1.idays30.odays7,1,1
158,158,2_D.v1.l1.ds1.l_combo10.ds_combo1.idays60.odays1,1,1
159,159,2_D.v1.l1.ds1.l_combo10.ds_combo1.idays60.odays7,1,1
160,160,2_D.v1.l1.ds1.l_combo10.ds_combo2.idays30.odays1,2,2
161,161,2_D.v1.l1.ds1.l_combo10.ds_combo2.idays30.odays7,2,2
162,162,2_D.v1.l1.ds1.l_combo10.ds_combo2.idays60.odays1,2,2
163,163,2_D.v1.l1.ds1.l_combo10.ds_combo2.idays60.odays7,2,2
164,164,2_D.v1.l1.ds1.l_combo10.ds_combo3.idays30.odays1,2,2
165,165,2_D.v1.l1.ds1.l_combo10.ds_combo3.idays30.odays7,2,2
166,166,2_D.v1.l1.ds1.l_combo10.ds_combo3.idays60.odays1,2,2
167,167,2_D.v1.l1.ds1.l_combo10.ds_combo3.idays60.odays7,2,2
168,168,2_D.v1.l1.ds1.l_combo11.ds_combo0.idays30.odays1,6,6
169,169,2_D.v1.l1.ds1.l_combo11.ds_combo0.idays30.odays7,6,6
170,170,2_D.v1.l1.ds1.l_combo11.ds_combo0.idays60.odays1,6,6
171,171,2_D.v1.l1.ds1.l_combo11.ds_combo0.idays60.odays7,6,6
172,172,2_D.v1.l1.ds1.l_combo11.ds_combo1.idays30.odays1,1,1
173,173,2_D.v1.l1.ds1.l_combo11.ds_combo1.idays30.odays7,1,1
174,174,2_D.v1.l1.ds1.l_combo11.ds_combo1.idays60.odays1,1,1
175,175,2_D.v1.l1.ds1.l_combo11.ds_combo1.idays60.odays7,1,1
176,176,2_D.v1.l1.ds1.l_combo11.ds_combo2.idays30.odays1,6,6
177,177,2_D.v1.l1.ds1.l_combo11.ds_combo2.idays30.odays7,6,6
178,178,2_D.v1.l1.ds1.l_combo11.ds_combo2.idays60.odays1,6,6
179,179,2_D.v1.l1.ds1.l_combo11.ds_combo2.idays60.odays7,6,6
180,180,2_D.v1.l1.ds1.l_combo11.ds_combo3.idays30.odays1,2,2
181,181,2_D.v1.l1.ds1.l_combo11.ds_combo3.idays30.odays7,2,2
182,182,2_D.v1.l1.ds1.l_combo11.ds_combo3.idays60.odays1,2,2
183,183,2_D.v1.l1.ds1.l_combo11.ds_combo3.idays60.odays7,2,2
184,184,2_D.v1.l1.ds1.l_combo12.ds_combo0.idays30.odays1,6,6
185,185,2_D.v1.l1.ds1.l_combo12.ds_combo0.idays30.odays7,6,6
186,186,2_D.v1.l1.ds1.l_combo12.ds_combo0.idays60.odays1,6,6
187,187,2_D.v1.l1.ds1.l_combo12.ds_combo0.idays60.odays7,6,6
188,188,2_D.v1.l1.ds1.l_combo12.ds_combo1.idays30.odays1,1,1
189,189,2_D.v1.l1.ds1.l_combo12.ds_combo1.idays30.odays7,1,1
190,190,2_D.v1.l1.ds1.l_combo12.ds_combo1.idays60.odays1,1,1
191,191,2_D.v1.l1.ds1.l_combo12.ds_combo1.idays60.odays7,1,1
192,192,2_D.v1.l1.ds1.l_combo12.ds_combo2.idays30.odays1,6,6
193,193,2_D.v1.l1.ds1.l_combo12.ds_combo2.idays30.odays7,6,6
194,194,2_D.v1.l1.ds1.l_combo12.ds_combo2.idays60.odays1,6,6
195,195,2_D.v1.l1.ds1.l_combo12.ds_combo2.idays60.odays7,6,6
196,196,2_D.v1.l1.ds1.l_combo12.ds_combo3.idays30.odays1,2,2
197,197,2_D.v1.l1.ds1.l_combo12.ds_combo3.idays30.odays7,2,2
198,198,2_D.v1.l1.ds1.l_combo12.ds_combo3.idays60.odays1,2,2
199,199,2_D.v1.l1.ds1.l_combo12.ds_combo3.idays60.odays7,2,2
200,200,2_D.v1.l1.ds1.l_combo13.ds_combo0.idays30.odays1,6,6
201,201,2_D.v1.l1.ds1.l_combo13.ds_combo0.idays30.odays7,6,6
202,202,2_D.v1.l1.ds1.l_combo13.ds_combo0.idays60.odays1,6,6
203,203,2_D.v1.l1.ds1.l_combo13.ds_combo0.idays60.odays7,6,6
204,204,2_D.v1.l1.ds1.l_combo13.ds_combo1.idays30.odays1,1,1
205,205,2_D.v1.l1.ds1.l_combo13.ds_combo1.idays30.odays7,1,1
206,206,2_D.v1.l1.ds1.l_combo13.ds_combo1.idays60.odays1,1,1
207,207,2_D.v1.l1.ds1.l_combo13.ds_combo1.idays60.odays7,1,1
208,208,2_D.v1.l1.ds1.l_combo13.ds_combo2.idays30.odays1,6,6
209,209,2_D.v1.l1.ds1.l_combo13.ds_combo2.idays30.odays7,6,6
210,210,2_D.v1.l1.ds1.l_combo13.ds_combo2.idays60.odays1,6,6
211,211,2_D.v1.l1.ds1.l_combo13.ds_combo2.idays60.odays7,6,6
212,212,2_D.v1.l1.ds1.l_combo13.ds_combo3.idays30.odays1,2,2
213,213,2_D.v1.l1.ds1.l_combo13.ds_combo3.idays30.odays7,2,2
214,214,2_D.v1.l1.ds1.l_combo13.ds_combo3.idays60.odays1,2,2
215,215,2_D.v1.l1.ds1.l_combo13.ds_combo3.idays60.odays7,2,2
216,216,2_D.v1.l1.ds1.l_combo14.ds_combo0.idays30.odays1,6,6
217,217,2_D.v1.l1.ds1.l_combo14.ds_combo0.idays30.odays7,6,6
218,218,2_D.v1.l1.ds1.l_combo14.ds_combo0.idays60.odays1,6,6
219,219,2_D.v1.l1.ds1.l_combo14.ds_combo0.idays60.odays7,6,6
220,220,2_D.v1.l1.ds1.l_combo14.ds_combo1.idays30.odays1,1,1
221,221,2_D.v1.l1.ds1.l_combo14.ds_combo1.idays30.odays7,1,1
222,222,2_D.v1.l1.ds1.l_combo14.ds_combo1.idays60.odays1,1,1
223,223,2_D.v1.l1.ds1.l_combo14.ds_combo1.idays60.odays7,1,1
224,224,2_D.v1.l1.ds1.l_combo14.ds_combo2.idays30.odays1,6,6
225,225,2_D.v1.l1.ds1.l_combo14.ds_combo2.idays30.odays7,6,6
226,226,2_D.v1.l1.ds1.l_combo14.ds_combo2.idays60.odays1,6,6
227,227,2_D.v1.l1.ds1.l_combo14.ds_combo2.idays60.odays7,6,6
228,228,2_D.v1.l1.ds1.l_combo14.ds_combo3.idays30.odays1,2,2
229,229,2_D.v1.l1.ds1.l_combo14.ds_combo3.idays30.odays7,2,2
230,230,2_D.v1.l1.ds1.l_combo14.ds_combo3.idays60.odays1,2,2
231,231,2_D.v1.l1.ds1.l_combo14.ds_combo3.idays60.odays7,2,2
0,0,2_F.v1.l0.ds1.l_combo0.ds_combo0.idays30.odays1,45,90
1,1,2_F.v1.l0.ds1.l_combo0.ds_combo0.idays30.odays7,45,90
2,2,2_F.v1.l0.ds1.l_combo0.ds_combo0.idays60.odays1,45,90
3,3,2_F.v1.l0.ds1.l_combo0.ds_combo0.idays60.odays7,45,90
4,4,2_F.v1.l0.ds1.l_combo0.ds_combo1.idays30.odays1,8,15
5,5,2_F.v1.l0.ds1.l_combo0.ds_combo1.idays30.odays7,8,15
6,6,2_F.v1.l0.ds1.l_combo0.ds_combo1.idays60.odays1,8,15
7,7,2_F.v1.l0.ds1.l_combo0.ds_combo1.idays60.odays7,8,15
8,8,2_F.v1.l0.ds1.l_combo0.ds_combo2.idays30.odays1,38,76
9,9,2_F.v1.l0.ds1.l_combo0.ds_combo2.idays30.odays7,38,76
10,10,2_F.v1.l0.ds1.l_combo0.ds_combo2.idays60.odays1,38,76
11,11,2_F.v1.l0.ds1.l_combo0.ds_combo2.idays60.odays7,38,76
